libzip 1.9.2-1
libzmf 0.0.2-13
licenses 20220125-1
lightdm 1:1.32.0-4
lilv 0.24.20-1
linux 6.0.10.arch2-1
linux-api-headers 5.18.15-1
linux-firmware 20221109.60310c2-2
linux-firmware-whence 20221109.60310c2-2
linux-headers 6.0.10.arch2-1
linux-wifi-hotspot 4.4.0-1
lld 14.0.6-1
llvm 14.0.6-4
llvm-libs 14.0.6-4
lm_sensors 1:3.6.0.r41.g31d1f125-2
lmdb 0.9.29-1
log4cplus 2.0.8-1
lolcat 100.0.1-1
lorien-bin 0.5.0-1
lpsolve 5.5.2.11-2
lsb-release 2.0.r48.3cf5103-1
lshw B.02.19.2-5
lsof 4.96.4-1
lua 5.4.4-2
lua52 5.2.4-5
lua53 5.3.6-1
lua53-lgi 0.9.2-7
luajit 2.1.0.beta3.r457.g637721d0-1
lucene++ 3.0.8-5
luit 20221028-1
lv2 1.18.10-1
lvm2 2.03.17-1
lxmenu-data 0.1.5-3
lz4 1:1.9.4-1
lzlib 1.13-2
lzo 2.10-4
m4 1.4.19-1
mailcap 2.1.53-1
make 4.3-5
malcontent 0.11.0-1
mallard-ducktype 1.0.2-8
man-db 2.11.1-1
man-pages 6.01-1
mariadb 10.9.4-2
mariadb-clients 10.9.4-2
mariadb-libs 10.9.4-2
mathpix-snipping-tool 03.00.0074-1
maven 3.8.6-1
